1.0,0.007869781002185883
0.1,0.001014657653513884
0.01,0.00011967486108083181
0.001,1.2147988290772682e-05
0.0001,1.2166020933179755e-06
1e-05,1.2167838170373813e-07
1e-06,1.2164077245468974e-08
1e-07,1.096378682285959e-09
1e-08,2.603655985256026e-09
1e-09,6.866209822931069e-09
1e-10,2.0498835850979447e-08
1e-11,2.0486599500157965e-08
1e-12,5.476996612185925e-06
1e-13,7.698523308533045e-05
1e-14,0.00019788886632637892
1e-15,0.00019788886632773894
1e-16,0.027289521073626588
1e-17,0.24758457832591768
1e-18,0.24758457832591768
1e-19,0.24758457832591768
1e-20,0.24758457832591768
